IP total recomb ff compton DR DI lines Adiabatic
4.707580e-10 8.06e-12 1.38e-15 7.13e-16 2.67e-24 1.68e-13 0.00e+00 7.72e-12 3.55e-16
7.461012e-10 9.81e-12 2.08e-15 1.08e-15 4.23e-24 1.68e-13 0.00e+00 9.47e-12 3.55e-16
1.182491e-09 1.24e-11 3.41e-15 1.76e-15 6.70e-24 1.68e-13 0.00e+00 1.21e-11 3.55e-16
1.874121e-09 1.56e-11 5.45e-15 2.82e-15 1.06e-23 1.68e-13 0.00e+00 1.52e-11 3.55e-16
2.970282e-09 1.90e-11 8.20e-15 4.24e-15 1.68e-23 1.68e-13 0.00e+00 1.86e-11 3.55e-16
4.707580e-09 2.41e-11 1.34e-14 6.93e-15 2.67e-23 1.68e-13 0.00e+00 2.37e-11 3.55e-16
7.461012e-09 3.02e-11 2.14e-14 1.11e-14 4.23e-23 1.68e-13 0.00e+00 2.98e-11 3.55e-16
1.182491e-08 3.82e-11 3.48e-14 1.80e-14 6.70e-23 1.68e-13 0.00e+00 3.78e-11 3.55e-16
1.874121e-08 4.62e-11 5.20e-14 2.69e-14 1.06e-22 1.68e-13 0.00e+00 4.58e-11 3.55e-16
2.970282e-08 5.77e-11 8.28e-14 4.29e-14 1.68e-22 1.68e-13 0.00e+00 5.72e-11 3.55e-16
4.707580e-08 7.25e-11 1.35e-13 6.97e-14 2.67e-22 1.68e-13 0.00e+00 7.20e-11 3.55e-16
7.461012e-08 8.67e-11 1.98e-13 1.02e-13 4.23e-22 1.68e-13 0.00e+00 8.61e-11 3.55e-16
1.182491e-07 1.07e-10 3.12e-13 1.62e-13 6.70e-22 1.68e-13 0.00e+00 1.06e-10 3.55e-16
1.874121e-07 1.31e-10 4.85e-13 2.51e-13 1.06e-21 1.68e-13 0.00e+00 1.30e-10 3.55e-16
2.970282e-07 1.56e-10 7.17e-13 3.72e-13 1.68e-21 1.68e-13 0.00e+00 1.54e-10 3.55e-16
4.707580e-07 1.89e-10 1.11e-12 5.77e-13 2.67e-21 1.68e-13 0.00e+00 1.87e-10 3.55e-16
7.461012e-07 2.27e-10 1.69e-12 8.78e-13 4.23e-21 1.68e-13 0.00e+00 2.24e-10 3.55e-16
