IP total photo ff compton ind_comp lines
4.707580e-10 5.92e-16 5.92e-16 5.53e-24 6.52e-21 0.00e+00 0.00e+00
7.461012e-10 9.38e-16 9.38e-16 8.77e-24 1.03e-20 0.00e+00 0.00e+00
1.182491e-09 1.49e-15 1.49e-15 1.39e-23 1.64e-20 0.00e+00 0.00e+00
1.874121e-09 2.36e-15 2.36e-15 2.20e-23 2.60e-20 0.00e+00 0.00e+00
2.970282e-09 3.73e-15 3.73e-15 3.49e-23 4.11e-20 0.00e+00 0.00e+00
4.707580e-09 5.92e-15 5.92e-15 5.53e-23 6.52e-20 0.00e+00 0.00e+00
7.461012e-09 9.38e-15 9.38e-15 8.77e-23 1.03e-19 0.00e+00 0.00e+00
1.182491e-08 1.49e-14 1.49e-14 1.39e-22 1.64e-19 0.00e+00 0.00e+00
1.874121e-08 2.36e-14 2.36e-14 2.20e-22 2.60e-19 0.00e+00 0.00e+00
2.970282e-08 3.73e-14 3.73e-14 3.49e-22 4.11e-19 0.00e+00 0.00e+00
4.707580e-08 5.92e-14 5.92e-14 5.53e-22 6.52e-19 0.00e+00 0.00e+00
7.461012e-08 9.38e-14 9.38e-14 8.77e-22 1.03e-18 0.00e+00 0.00e+00
1.182491e-07 1.49e-13 1.49e-13 1.39e-21 1.64e-18 0.00e+00 0.00e+00
1.874121e-07 2.36e-13 2.36e-13 2.20e-21 2.60e-18 0.00e+00 0.00e+00
2.970282e-07 3.73e-13 3.73e-13 3.49e-21 4.11e-18 0.00e+00 0.00e+00
4.707580e-07 5.92e-13 5.92e-13 5.53e-21 6.52e-18 0.00e+00 0.00e+00
7.461012e-07 9.38e-13 9.38e-13 8.77e-21 1.03e-17 0.00e+00 0.00e+00
1.182491e-06 1.49e-12 1.49e-12 1.39e-20 1.64e-17 0.00e+00 0.00e+00
1.874121e-06 2.36e-12 2.36e-12 2.20e-20 2.60e-17 0.00e+00 0.00e+00
2.970282e-06 3.73e-12 3.73e-12 3.49e-20 4.11e-17 0.00e+00 0.00e+00
4.707580e-06 5.92e-12 5.92e-12 5.53e-20 6.52e-17 0.00e+00 0.00e+00
7.461012e-06 9.38e-12 9.38e-12 8.77e-20 1.03e-16 0.00e+00 0.00e+00
1.182491e-05 1.49e-11 1.49e-11 1.39e-19 1.64e-16 0.00e+00 0.00e+00
1.874121e-05 2.36e-11 2.36e-11 2.20e-19 2.60e-16 0.00e+00 0.00e+00
2.970282e-05 3.73e-11 3.73e-11 3.49e-19 4.11e-16 0.00e+00 0.00e+00
4.707580e-05 5.92e-11 5.92e-11 5.53e-19 6.52e-16 0.00e+00 0.00e+00
7.461012e-05 9.38e-11 9.38e-11 8.77e-19 1.03e-15 0.00e+00 0.00e+00
1.182491e-04 1.49e-10 1.49e-10 1.39e-18 1.64e-15 0.00e+00 0.00e+00
1.874121e-04 2.36e-10 2.36e-10 2.20e-18 2.60e-15 0.00e+00 0.00e+00
2.970282e-04 3.73e-10 3.73e-10 3.49e-18 4.11e-15 0.00e+00 0.00e+00
4.707580e-04 5.92e-10 5.92e-10 5.53e-18 6.52e-15 0.00e+00 0.00e+00
7.461012e-04 9.38e-10 9.38e-10 8.77e-18 1.03e-14 0.00e+00 0.00e+00
1.182491e-03 1.49e-09 1.49e-09 1.39e-17 1.64e-14 0.00e+00 0.00e+00
1.874121e-03 2.36e-09 2.36e-09 2.20e-17 2.60e-14 0.00e+00 0.00e+00
2.970282e-03 3.73e-09 3.73e-09 3.49e-17 4.11e-14 0.00e+00 0.00e+00
4.707580e-03 5.92e-09 5.92e-09 5.53e-17 6.52e-14 0.00e+00 0.00e+00
7.461012e-03 9.38e-09 9.38e-09 8.77e-17 1.03e-13 0.00e+00 0.00e+00
1.182491e-02 1.49e-08 1.49e-08 1.39e-16 1.64e-13 0.00e+00 0.00e+00
1.874121e-02 2.36e-08 2.36e-08 2.20e-16 2.60e-13 0.00e+00 0.00e+00
2.970282e-02 3.73e-08 3.73e-08 3.49e-16 4.11e-13 0.00e+00 0.00e+00
4.707580e-02 5.92e-08 5.92e-08 5.53e-16 6.52e-13 0.00e+00 0.00e+00
7.461012e-02 9.38e-08 9.38e-08 8.77e-16 1.03e-12 0.00e+00 0.00e+00
1.182491e-01 1.49e-07 1.49e-07 1.39e-15 1.64e-12 0.00e+00 0.00e+00
1.874121e-01 2.36e-07 2.36e-07 2.20e-15 2.60e-12 0.00e+00 0.00e+00
2.970282e-01 3.73e-07 3.73e-07 3.49e-15 4.11e-12 0.00e+00 0.00e+00
4.707580e-01 5.92e-07 5.92e-07 5.53e-15 6.52e-12 0.00e+00 0.00e+00
7.461012e-01 9.38e-07 9.38e-07 8.77e-15 1.03e-11 0.00e+00 0.00e+00
1.182491e+00 1.49e-06 1.49e-06 1.39e-14 1.64e-11 0.00e+00 0.00e+00
1.874121e+00 2.36e-06 2.36e-06 2.20e-14 2.60e-11 0.00e+00 0.00e+00
2.970282e+00 3.73e-06 3.73e-06 3.49e-14 4.11e-11 0.00e+00 0.00e+00
4.707580e+00 5.92e-06 5.92e-06 5.53e-14 6.52e-11 0.00e+00 0.00e+00
7.461012e+00 9.38e-06 9.38e-06 8.77e-14 1.03e-10 0.00e+00 0.00e+00
1.182491e+01 1.49e-05 1.49e-05 1.39e-13 1.64e-10 0.00e+00 0.00e+00
